field,category,platform,type,channel,provider,data_needed,enrichment,enrichment requirements
EventID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0064_4698_scheduled_task_was_created,,
Computer,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0064_4698_scheduled_task_was_created,,
Hostname,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0064_4698_scheduled_task_was_created,,
SubjectUserSid,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0064_4698_scheduled_task_was_created,,
SubjectUserName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0064_4698_scheduled_task_was_created,,
SubjectDomainName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0064_4698_scheduled_task_was_created,,
SubjectLogonId,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0064_4698_scheduled_task_was_created,,
TaskName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0064_4698_scheduled_task_was_created,,
TaskContent,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0064_4698_scheduled_task_was_created,,
EventID,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,,
Hostname,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,,
Computer,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,,
ProcessID,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,,
ServiceName,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,,
ImagePath,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,,
ServiceFileName,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,,
ServiceType,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,,
StartType,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,,
AccountName,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,,
UserSid,OS Logs,Windows,Windows Log,System,Service Control Manager,DN_0005_7045_windows_service_insatalled,,
EventID,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
Hostname,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
Computer,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
EventName,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
Response,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
CabId,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
ProblemSignature,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
AttachedFiles,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
Thesefilesmaybeavailablehere,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
AnalysisSymbol,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
RecheckingForSolution,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
ReportId,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
ReportStatus,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
HashedBucket,OS Logs,Windows,Windows Log,Application,Windows Error Reporting,DN_0045_1001_windows_error_reporting,,
EventID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0026_5136_windows_directory_service_object_was_modified,,
Computer,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0026_5136_windows_directory_service_object_was_modified,,
